"ID","X","Y","City","Date Collected","Nightly Price","Monthly Price","Neighborhood","Room Type","Street","Units","URL","User URL"
"air3654399",-90.060942881775,29.96357410226,"New Orleans","2015-08-19T01:15:01.287Z",250,3000,"French Quarter","Entire home/apt","Bourbon Street",1,"http://airbnb.com/rooms/3654399","http://airbnb.com/users/show/18487575"
"air2926290",-90.063226182279,29.96924616753,"New Orleans","2015-08-19T01:15:01.287Z",850,23800,"Seventh Ward","Entire home/apt","Annette Street",4,"http://airbnb.com/rooms/2926290","http://airbnb.com/users/show/10621726"
"air3094720",-90.049089272904,29.971181924549,"New Orleans","2015-08-11T16:30:25.494Z",95,2660,"St ClaudeSt Roch","Private room","Saint Ferdinand Street",1,"http://airbnb.com/rooms/3094720","http://airbnb.com/users/show/15738716"
"air4394146",-90.05041756027,29.968432216867,"New Orleans","2015-08-19T01:15:01.287Z",175,3075,"MarignyBywater","Entire home/apt","North Rampart Street",1,"http://airbnb.com/rooms/4394146","http://airbnb.com/users/show/12151150"
"air2051758",-90.039911515571,29.963694014537,"New Orleans","2015-08-19T01:15:01.287Z",100,2800,"MarignyBywater","Entire home/apt","Dauphine Street",1,"http://airbnb.com/rooms/2051758","http://airbnb.com/users/show/10011216"
"air2122794",-90.043558868695,29.963940179016,"New Orleans","2015-08-19T01:15:01.287Z",125,1700,"MarignyBywater","Entire home/apt","Dauphine Street",3,"http://airbnb.com/rooms/2122794","http://airbnb.com/users/show/4841202"
"air2554095",-90.042367121526,29.965650404525,"New Orleans","2015-08-19T01:15:01.287Z",125,2500,"MarignyBywater","Entire home/apt","Burgundy Street",1,"http://airbnb.com/rooms/2554095","http://airbnb.com/users/show/2930144"
"air4595930",-90.067468585239,29.946184568628,"New Orleans","2015-08-11T16:30:25.494Z",325,9100,"Central Business District","Entire home/apt","Tchoupitoulas Street",3,"http://airbnb.com/rooms/4595930",""
"air2187206",-90.032762840255,29.962207249585,"New Orleans","2015-08-19T01:15:01.287Z",300,8400,"MarignyBywater","Entire home/apt","Burgundy Street",1,"http://airbnb.com/rooms/2187206","http://airbnb.com/users/show/4823289"
"air2611449",-90.074672405255,29.98090783543,"New Orleans","2015-08-19T01:15:01.287Z",250,7000,"Fairgrounds","Entire home/apt","North Broad Street",1,"http://airbnb.com/rooms/2611449","http://airbnb.com/users/show/13373995"
"air2361703",-90.081510326425,29.974266694601,"New Orleans","2015-08-19T01:15:01.287Z",125,3500,"Bayou St John","Entire home/apt","North White Street",2,"http://airbnb.com/rooms/2361703","http://airbnb.com/users/show/4680678"
"air425878",-90.087833681102,29.976879105496,"New Orleans","2015-08-19T01:15:01.287Z",125,1400,"","Entire home/apt","Dumaine St",1,"http://airbnb.com/rooms/425878","http://airbnb.com/users/show/1919429"
"air1629385",-90.120870149876,29.950754287103,"New Orleans","2015-08-19T01:15:01.287Z",325,4500,"East Carrollton","Entire home/apt","Spruce Street",1,"http://airbnb.com/rooms/1629385","http://airbnb.com/users/show/5606224"
"air3987037",-90.096099658797,29.968964370948,"New Orleans","2015-08-19T01:15:01.287Z",60,1680,"Mid City","Private room","South Jefferson Davis Parkway",2,"http://airbnb.com/rooms/3987037","http://airbnb.com/users/show/11906174"
"air3181963",-90.087397910112,29.932712416354,"New Orleans","2015-08-19T01:15:01.287Z",206,5768,"Central City","Entire home/apt","Washington Avenue",2,"http://airbnb.com/rooms/3181963","http://airbnb.com/users/show/16133905"
"air4435979",-90.071520680008,29.952176138315,"New Orleans","2015-08-11T16:30:25.494Z",199,3999,"Central Business District","Entire home/apt","Common Street",3,"http://airbnb.com/rooms/4435979",""
"air2076311",-90.061023350264,29.961727303365,"New Orleans","2015-08-19T01:15:01.287Z",165,4620,"French Quarter","Entire home/apt","Bourbon Street",4,"http://airbnb.com/rooms/2076311","http://airbnb.com/users/show/6534205"
